ID,Check-in,Check-out,Noches,Adultos,Niños,Habitación,Tipo,Habitación_ID,Precio,Moneda,Fuente,URL_Airbnb,Teléfono
33183,"2025-10-20","2025-10-22",2,2,0,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM2XKCFSNW","6272"
33181,"2025-10-18","2025-10-21",3,2,0,"N/A","N/A",90,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM2NSJYDMD","6104"
33179,"2025-10-19","2025-10-22",3,2,0,"N/A","N/A",316,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMCH8MD3BQ","0000"
33177,"2025-10-18","2025-10-20",2,2,0,"N/A","N/A",325,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMNM95QX34","6272"
33175,"2025-10-21","2025-10-24",3,2,0,"N/A","N/A",331,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMH4QZNBP2","2397"
33173,"2025-11-01","2025-11-09",8,2,0,"N/A","N/A",319,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMA98NRQYB","7498"
33171,"2025-11-28","2025-12-02",4,2,0,"N/A","N/A",331,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM24W3SN5E","1345"
33169,"2025-10-21","2025-10-30",9,2,0,"N/A","N/A",328,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMXS3XXPWF","6633"
33167,"2025-10-28","2025-11-01",3,2,0,"N/A","N/A",316,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HM2HQKYDSK","3922"
33165,"2026-01-02","2026-01-09",7,2,5,"N/A","N/A",309,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMS98ENDQB","0112"
33163,"2026-01-06","2026-01-11",5,2,0,"N/A","N/A",331,0,"COP","Airbnb","https://www.airbnb.com/hosting/reservations/details/HMM8D2PN93","0202"
33155,"2026-02-27","2026-03-02",5,10,6,"N/A","N/A",337,0,"COP","Airbnb","",""
